id,raDeg,decDeg
246,64.0066,-51.4866
247,68.4991,-55.045
248,83.4063,-62.4898
249,86.1932,-65.7355
250,88.5252,-63.0896
251,76.3777,-57.4727
252,-91.6178,56.8726
253,-90.8485,51.4889
254,-97.3918,52.3014
255,-96.9332,55.173
256,-71.8612,67.6615
257,-84.8107,71.3378
258,-102.8034,65.7147
259,-114.0021,61.5142
260,-119.5277,58.5653
261,-128.7676,58.9661
262,-148.9027,64.3759
263,-171.6294,69.7882
264,172.8509,69.3311
265,-84.7359,72.7328
266,-62.9569,70.2679
267,-41.044,5.2478
268,-41.3799,10.007
269,-42.4146,10.1316
270,76.9624,-5.0864
271,71.3756,-3.2547
272,69.0798,-3.3525
273,62.9664,-6.8376
274,59.5074,-13.5085
275,56.5356,-12.1016
276,55.8121,-9.7634
277,53.2327,-9.4583
278,44.1069,-8.8981
279,41.0306,-13.8587
280,41.2758,-18.5726
281,45.5979,-23.6245
282,49.8792,-21.7579
283,53.447,-21.6329
284,56.712,-23.2497
285,68.8877,-30.5623
286,66.0092,-34.0168
287,64.4736,-33.7983
288,57.3635,-36.2003
289,54.2737,-40.2745
290,49.9819,-43.0698
291,44.5653,-40.3047
292,40.1668,-39.8554
293,36.7463,-47.7038
294,34.1274,-51.5122
295,28.9895,-51.6089
296,24.4285,-57.2368
297,48.0189,-28.9876
298,42.2726,-32.4059
299,31.1227,-29.2968
300,93.7194,22.5068
301,95.7401,22.5136
302,100.983,25.1311
303,107.7849,30.2452
304,113.6494,31.8883
305,116.329,28.0262
306,113.9806,26.8957
307,110.0307,21.9823
308,106.0272,20.5703
309,99.4279,16.3993
310,101.3224,12.8956
311,109.5232,16.5404
312,-14.78,-52.7541
313,-17.8613,-51.3169
314,-19.3331,-46.8846
315,-22.5607,-43.7492
316,-27.9417,-46.961
317,-22.6826,-43.4956
318,-26.0962,-41.3467
319,-28.4713,-39.5434
320,-31.5178,-37.3649
321,-114.5199,19.1531
322,-112.445,21.4896
323,-109.6785,31.6027
324,-109.276,38.9223
325,-111.4742,42.437
326,-115.0648,46.3134
327,-117.8076,44.9349
328,-121.8311,42.4515
329,-104.9276,30.9264
330,-101.2382,36.8092
331,-90.9367,37.2505
332,-99.0794,37.1459
333,-101.242,24.8392
334,-93.3853,27.7207
335,-90.5588,29.2479
336,-88.1144,28.7625
337,-101.3381,14.3903
338,63.5005,-42.2944
339,40.6394,-50.8003
340,39.3515,-52.5431
341,40.1651,-54.5499
342,45.9034,-59.7378
343,44.6992,-64.0713
344,131.6938,6.4188
345,132.1082,5.8378
346,130.8061,3.3987
347,129.6893,3.3414
348,129.414,5.7038
349,133.8484,5.9456
350,138.5911,2.3143
351,144.964,-1.1428
352,141.8968,-8.6586
353,147.8696,-14.8466
354,152.647,-12.3541
355,156.5226,-16.8363
356,162.4062,-16.1936
357,173.2505,-31.8576
358,178.2272,-33.9081
359,-160.2696,-23.1715
360,-148.4071,-26.6824
361,-137.4279,-27.9604
362,6.4378,-77.2542
363,56.8098,-74.239
364,39.8973,-68.2669
365,35.4373,-68.6594
366,28.7339,-67.6473
367,29.6925,-61.5699
368,-50.6082,-47.2915
369,-48.9903,-51.921
370,-46.2975,-58.4542
371,-30.5205,-54.9926
372,-40.0334,-53.4494
373,-24.1099,52.229
374,-22.1771,50.2825
375,-22.6174,47.7069
376,-24.7436,46.5366
377,-22.3781,43.1234
378,-19.8714,44.2763
379,-23.8709,49.4764
380,-26.5303,39.7149
381,-26.0076,37.7487
382,152.093,11.9672
383,151.8331,16.7627
384,154.9931,19.8415
385,168.5271,20.5237
386,177.2649,14.5721
387,168.56,15.4296
388,154.1726,23.4173
389,148.1909,26.007
390,146.4628,23.7743
391,151.8573,35.2447
392,156.4784,33.7961
393,163.3279,34.2149
394,156.9708,36.7072
395,143.5558,36.3976
396,91.5388,-14.9353
397,89.1012,-14.1677
398,86.7389,-14.822
399,83.1826,-17.8223
400,78.2329,-16.2055
401,76.3653,-22.371
402,82.0613,-20.7594
403,86.1158,-22.4484
404,87.8304,-20.8791
405,78.3078,-12.9413
406,79.8939,-13.1768
407,-133.9824,-25.282
408,-137.2804,-16.0418
409,-130.7483,-9.3829
410,-126.1184,-14.7895
411,-125.744,-28.1351
412,-125.336,-29.7778
413,-122.2603,-33.6272
414,-125.0584,-34.4119
415,-129.5485,-36.2614
416,-129.657,-40.6475
417,-135.367,-43.134
418,-139.5177,-47.3882
419,-131.9288,-52.0992
420,-130.3666,-47.8753
421,-129.3297,-44.6896
422,-126.2148,-41.1668
423,-119.9695,-38.3967
424,-118.3519,-36.8023
425,94.9058,59.011
426,104.3192,58.4228
427,111.6785,49.2115
428,125.7088,43.1881
429,135.1599,41.7829
430,139.711,36.8026
431,140.2638,34.3926
432,-78.8068,37.6051
433,-78.9051,39.6127
434,-80.7653,38.7837
435,-76.3738,36.8986
436,-75.2641,32.6896
437,-77.48,33.3627
438,92.5603,-74.753
439,82.9709,-76.341
440,73.7967,-74.9369
441,75.6792,-71.3143
442,-47.508,-33.7797
443,-47.8786,-43.9885
444,-39.8098,-40.8095
445,-40.5155,-32.1725
446,-44.6772,-32.2578
447,115.3118,-9.5511
448,122.1485,-2.9838
449,107.9661,-0.4928
450,97.2045,-7.0331
451,93.7139,-6.2748
452,101.9652,2.4122
453,95.942,4.5929
454,98.2259,7.333
455,100.2444,9.8958
456,176.4017,-66.7288
457,-175.6072,-67.9607
458,-170.7041,-69.1356
459,-168.43,-68.1081
460,-164.4322,-71.5489
461,-171.8833,-72.133
462,-118.3773,-45.1732
463,-113.204,-47.5548
464,-115.0399,-50.1555
465,-119.1963,-49.2297
466,-143.2699,-83.6679
467,-18.4854,-81.3816
468,-34.6306,-77.39
469,-90.2434,-9.7736
470,-93.0268,2.7073
471,-94.1319,4.5673
472,-96.2664,12.56
473,-105.5829,9.375
474,-112.2716,1.9839
475,-116.4136,-3.6943
476,-115.4196,-4.6925
477,-110.7103,-10.5671
478,-102.4055,-15.7249
479,-112.2151,-16.6127
480,-113.244,-18.4563
481,-113.9742,-20.0373
482,-113.6037,-23.4472
483,-99.4976,-24.9995
484,-98.1614,-29.867
485,91.893,14.7685
486,88.5958,20.2762
487,90.9799,20.1385
488,92.985,14.2088
489,90.5958,9.6473
490,88.7929,7.4071
491,81.2828,6.3497
492,73.7239,10.1508
493,74.6371,1.714
494,73.5629,2.4407
495,72.8015,5.6051
496,72.46,6.9613
497,72.653,8.9002
498,74.0928,13.5145
499,76.1423,15.4041
500,77.4248,15.5972
501,78.6345,-8.2016
502,81.1192,-2.3971
503,83.0017,-0.2991
504,83.7845,9.9342
505,85.1897,-1.9426
506,86.9391,-9.6696
507,84.0534,-1.2019
508,-53.5881,-56.7351
509,-48.7604,-66.2032
510,-57.8183,-66.1821
511,-76.9457,-62.1876
512,-84.1932,-61.4939
513,-87.8549,-63.6686
514,-93.5667,-64.7239
515,-79.2411,-71.4281
516,-59.8519,-72.9105
517,-38.3891,-65.3662
518,-27.5031,33.1782
519,-19.2494,30.2212
520,-14.0564,28.0828
521,2.0969,29.0904
522,3.309,15.1836
523,-13.8098,15.2053
524,-18.3267,12.1729
525,-19.6345,10.8314
526,-27.4501,6.1979
527,-33.9535,9.875
528,-17.4992,24.6016
529,-18.3672,23.5657
530,-28.2472,25.3451
531,-33.8386,25.645
532,56.0797,32.2882
533,58.533,31.8836
534,59.7413,35.791
535,59.4635,40.0102
536,56.2985,42.5785
537,55.7313,47.7876
538,54.1224,48.1926
539,51.0807,49.8612
540,46.1991,53.5064
541,42.6742,55.8955
542,43.5644,52.7625
543,47.2667,49.6133
544,47.374,44.8575
545,47.0422,40.9556
546,47.8224,39.6116
547,46.2941,38.8403
548,44.6903,39.6627
549,44.9162,41.0329
550,61.646,50.3513
551,63.7244,48.4093
552,62.1654,47.7125
553,41.0499,49.2284
554,25.9152,50.6887
555,6.571,-42.306
556,16.521,-46.7184
557,22.0914,-43.3182
558,22.8129,-49.0727
559,17.0962,-55.2458
560,2.3527,-45.7474
561,102.0477,-61.9414
562,87.4569,-56.1667
563,86.8212,-51.0665
564,18.4373,24.5837
565,17.9152,30.0896
566,19.8666,27.2641
567,17.8634,21.0347
568,22.8709,15.3458
569,26.3485,9.1577
570,30.5118,2.7638
571,28.389,3.1875
572,25.3579,5.4876
573,22.5463,6.1438
574,18.4329,7.5754
575,15.7359,7.8901
576,12.1706,7.5851
577,-0.1721,6.8633
578,-5.0123,5.6263
579,-8.0079,6.379
580,-9.9142,5.3813
581,-10.7086,3.2823
582,-8.2669,1.2556
583,-4.4883,1.78
584,-3.402,3.4868
585,-14.0308,3.82
586,-19.8361,-27.0436
587,-15.5873,-29.6222
588,-16.0129,-32.5396
589,-16.8686,-32.8755
590,-22.1236,-32.3461
591,-27.9041,-32.9885
592,-33.7633,-33.0258
593,-33.066,-30.8983
594,99.4403,-43.1959
595,109.2857,-37.0975
596,113.8454,-28.3693
597,114.7078,-26.8038
598,117.3236,-24.8598
599,119.2147,-22.8801
600,121.886,-24.3043
601,120.896,-40.0031
602,122.3831,-47.3366
603,117.0215,-25.9372
604,115.952,-28.9548
605,120.896,-40.0031
606,130.0256,-35.3084
607,130.8981,-33.1864
608,132.633,-27.7098
609,63.6062,-62.4739
610,64.121,-59.3022
611,59.6865,-61.4002
612,56.0499,-64.8069
613,-64.9759,18.0139
614,-63.1531,18.5343
615,-60.3107,19.4921
616,-64.7378,17.476
617,-85.5932,-36.7617
618,-83.957,-34.3846
619,-84.7515,-29.8281
620,-83.0073,-25.4217
621,-86.5591,-21.0588
622,-69.3404,-44.459
623,-69.0284,-40.6159
624,-74.347,-29.8801
625,-78.5859,-26.9908
626,-61.1846,-41.8683
627,-60.0659,-35.2763
628,-61.0402,-26.2995
629,-65.8232,-24.8836
630,-68.6813,-24.5086
631,-71.1149,-25.2567
632,-76.1836,-26.2967
633,-88.548,-30.4241
634,-73.265,-27.6704
635,-73.8292,-21.7415
636,-72.559,-21.0236
637,-70.5913,-18.9529
638,-69.5818,-17.8472
639,-69.5682,-15.955
640,-75.5675,-21.1067
641,-76.4576,-22.7448
642,-120.287,-26.1141
643,-119.9166,-22.6217
644,-118.6407,-19.8055
645,-114.7028,-25.5928
646,-112.6481,-26.432
647,-111.0294,-28.216
648,-107.4591,-34.2932
649,-107.0324,-38.0474
650,-106.3541,-42.3613
651,-101.9617,-43.2392
652,-95.6703,-42.9978
653,-93.1038,-40.127
654,-94.378,-39.03
655,-96.5978,-37.1038
656,14.6515,-29.3574
657,-2.7686,-28.1303
658,-10.294,-32.532
659,-6.7573,-37.8183
660,-81.1982,-8.2441
661,-78.2064,-4.7479
662,-79.4316,-9.0525
663,-82.7006,-14.5658
664,-123.4531,15.4218
665,-124.6123,19.6704
666,-122.8151,18.1416
667,-120.8867,15.6616
668,-126.2994,10.5389
669,-123.933,6.4256
670,-122.296,4.4777
671,-116.4136,-3.6943
672,-102.4055,-15.7249
673,-95.6033,-15.3986
